"NGA","PolID","OriginalNGA","Time","PropCoded","PolPop","PolTerr","CapPop","levels","government","infrastr","writing","texts","money","irep","FreqLR","ConformityLR","FreqWR","ConformityWR","FreqFR","ConformityFR","FreqER","ConformityER","FreqDR","ConformityDR","MHG","BSP","WrittenRecords","ReligiousHier","GeneralMoralisticPunishment","MoralisingHighGods","MoralisingGods","DoctrinalMode","Writing","Mean","Lower","Upper","PolName","Start","End","World.Region","Complexity","Dupl","Language","Genus","Family","Latitude","Longitude","City"
"Big Island Hawaii","Hawaii1","Big Island Hawaii",1000,76.5,3.72964309358953,2.8565246753607,2.33269939778477,1.891512277455,0.0909090909090909,0.1,0.1,0.1,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,0,0.225979206976988,0.184091619458852,0.267866794495123,"Hawaii1",1000,1199,"Oceania-Australia","Early","n","Old Hawaiian ","Oceanic","Austronesian",19.53,-155.92,"Kona"
"Big Island Hawaii","Hawaii1","Big Island Hawaii",1100,76.5,3.72964309358953,2.8565246753607,2.33269939778477,1.891512277455,0.0909090909090909,0.1,0.1,0.1,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,0,0.225979206976988,0.184091619458852,0.267866794495123,"Hawaii1",1000,1199,"Oceania-Australia","Early","n","Old Hawaiian ","Oceanic","Austronesian",19.53,-155.92,"Kona"
"Big Island Hawaii","Hawaii2","Big Island Hawaii",1200,86.3,3.59834039052026,3.38839422555619,3.43558263375649,1.59689466329376,0.0909090909090909,0.0909090909090909,0.15,0,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0.230583590458185,0.165350606425355,0.295816574491014,"Hawaii2",1200,1649,"Oceania-Australia","Early","n","Hawaiian","Oceanic","Austronesian",19.53,-155.92,"Kona"
"Big Island Hawaii","Hawaii2","Big Island Hawaii",1300,86.3,4.02623961754708,3.38839422555619,2.74959887322896,1.77387001435807,0.0909090909090909,0.0909090909090909,0.15,0,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0.249843482036782,0.191825701198175,0.30786126287539,"Hawaii2",1200,1649,"Oceania-Australia","Early","n","Hawaiian","Oceanic","Austronesian",19.53,-155.92,"Kona"
"Big Island Hawaii","Hawaii2","Big Island Hawaii",1400,86.3,4.31176726962931,3.38839422555619,3.81153091492555,0.994294646688846,0.0909090909090909,0.181818181818182,0.15,0,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0.275203327553527,0.247996676159374,0.302409978947681,"Hawaii2",1200,1649,"Oceania-Australia","Early","n","Hawaiian","Oceanic","Austronesian",19.53,-155.92,"Kona"
"Big Island Hawaii","Hawaii2","Big Island Hawaii",1500,86.3,4.20511271101489,3.38839422555619,3.84229083137016,2.10936860688182,0.172727272727273,0.181818181818182,0.15,0,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0.301948802922066,0.272121247527724,0.331776358316409,"Hawaii2",1200,1649,"Oceania-Australia","Early","n","Hawaiian","Oceanic","Austronesian",19.53,-155.92,"Kona"
"Big Island Hawaii","Hawaii2","Big Island Hawaii",1600,80.4,4.37395951400149,3.38839422555619,3.27544493164134,2.46012480646291,0.09,0.1,0.15,0,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0.238064536771896,0.175781003123836,0.300348070419955,"Hawaii2",1200,1649,"Oceania-Australia","Early","n","Hawaiian","Oceanic","Austronesian",19.53,-155.92,"Kona"
"Big Island Hawaii","Hawaii3","Big Island Hawaii",1700,94.1,5.15759323618848,3.93583638945261,4.25082162144753,2.66677009995233,0.227272727272727,0.245454545454545,0.166666666666667,0,1.8,1,2,NA,6,NA,NA,NA,2,NA,NA,NA,NA,NA,0,2,NA,NA,NA,1,0,0.371365959756354,0.36369086050043,0.379041059012278,"Hawaii3",1650,1777,"Oceania-Australia","Early","n","Hawaiian","Oceanic","Austronesian",19.53,-155.92,"Kona"
"Big Island Hawaii","USKameh","Big Island Hawaii",1800,92.2,4.99743918309294,4.18648778570086,3.58043778617084,2.87099132524295,0.35,0.172727272727273,0.166666666666667,0,1.8,1,2,NA,6,NA,NA,NA,2,NA,NA,NA,2,0.9,0,2,1,0,1,1,0,0.366258431661372,0.335596537368476,0.396920325954268,"USKameh",1778,1819,"Oceania-Australia","Early","n","Hawaiian","Oceanic","Austronesian",19.53,-155.92,"Kona"
"Cahokia","USMisEW","Cahokia",-600,88.2,1.54754250295247,0.396494384152397,1.60629371169977,1,0,0.0833333333333333,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,0.0451979413310737,0.0236048167385711,0.0667910659235762,"USMisEW",-600,-151,"NorthAmerica","Medium","n","USMisEW","USMisEW","USMisEW",38.66,-90.06,"St. Louis"
"Cahokia","USMisEW","Cahokia",-500,88.2,1.54754250295247,0.396494384152397,1.60629371169977,1,0,0.0833333333333333,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,0.0451979413310737,0.0236048167385711,0.0667910659235762,"USMisEW",-600,-151,"NorthAmerica","Medium","n","USMisEW","USMisEW","USMisEW",38.66,-90.06,"St. Louis"
"Cahokia","USMisEW","Cahokia",-400,88.2,1.54754250295247,0.396494384152397,1.60629371169977,1,0,0.0833333333333333,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,0.0451979413310737,0.0236048167385711,0.0667910659235762,"USMisEW",-600,-151,"NorthAmerica","Medium","n","USMisEW","USMisEW","USMisEW",38.66,-90.06,"St. Louis"
"Cahokia","USMisEW","Cahokia",-300,88.2,1.54754250295247,0.396494384152397,1.60629371169977,1,0,0.0833333333333333,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,0.0451979413310737,0.0236048167385711,0.0667910659235762,"USMisEW",-600,-151,"NorthAmerica","Medium","n","USMisEW","USMisEW","USMisEW",38.66,-90.06,"St. Louis"
"Cahokia","USMisEW","Cahokia",-200,88.2,1.54754250295247,0.396494384152397,1.60629371169977,1,0,0.0833333333333333,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,0.0451979413310737,0.0236048167385711,0.0667910659235762,"USMisEW",-600,-151,"NorthAmerica","Medium","n","USMisEW","USMisEW","USMisEW",38.66,-90.06,"St. Louis"
"Cahokia","USMisMW","Cahokia",-100,88.2,1.66117630104141,0.870147151920236,1.59471921433724,1.08616949044023,0,0.0833333333333333,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,0.0486713276008096,-0.0117636595421225,0.109106314743742,"USMisMW",-150,299,"NorthAmerica","Medium","n","USMisMW","USMisMW","USMisMW",38.66,-90.06,"St. Louis"
"Cahokia","USMisMW","Cahokia",0,88.2,1.66117630104141,0.870147151920236,1.59471921433724,1.08616949044023,0,0.0833333333333333,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,0.0486713276008096,-0.0117636595421225,0.109106314743742,"USMisMW",-150,299,"NorthAmerica","Medium","n","USMisMW","USMisMW","USMisMW",38.66,-90.06,"St. Louis"
"Cahokia","USMisMW","Cahokia",100,88.2,1.66117630104141,0.870147151920236,1.59471921433724,1.08616949044023,0,0.0833333333333333,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,0.0486713276008096,-0.0117636595421225,0.109106314743742,"USMisMW",-150,299,"NorthAmerica","Medium","n","USMisMW","USMisMW","USMisMW",38.66,-90.06,"St. Louis"
"Cahokia","USMisMW","Cahokia",200,88.2,1.66117630104141,0.870147151920236,1.59471921433724,1.08616949044023,0,0.0833333333333333,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,0.0486713276008096,-0.0117636595421225,0.109106314743742,"USMisMW",-150,299,"NorthAmerica","Medium","n","USMisMW","USMisMW","USMisMW",38.66,-90.06,"St. Louis"
"Cahokia","USMisRo","Cahokia",300,88.2,1.53732558384119,1.22412534269029,1.54295993107546,1,0,0.0833333333333333,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,0.0440933840840511,0.0314688626331181,0.056717905534984,"USMisRo",300,449,"NorthAmerica","Medium","n","USMisRo","USMisRo","USMisRo",38.66,-90.06,"St. Louis"
"Cahokia","USMisRo","Cahokia",400,88.2,1.53732558384119,1.22412534269029,1.54295993107546,1,0,0.0833333333333333,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,0.0440933840840511,0.0314688626331181,0.056717905534984,"USMisRo",300,449,"NorthAmerica","Medium","n","USMisRo","USMisRo","USMisRo",38.66,-90.06,"St. Louis"
"Cahokia","USMisMu","Cahokia",500,88.2,1.73787558741576,1.33910827145554,1.61082114110105,1,0,0.0916666666666667,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,0.0559308549566143,0.0350556915803858,0.0768060183328428,"USMisMu",450,599,"NorthAmerica","Medium","n","USMisMu","USMisMu","USMisMu",38.66,-90.06,"St. Louis"
"Cahokia","USMisPa","Cahokia",600,88.2,1.56840247443161,0.350700393058611,1.57196371501869,1.25,0,0.0916666666666667,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,0.0501458966215429,0.0227701106389023,0.0775216826041836,"USMisPa",600,749,"NorthAmerica","Medium","n","USMisPa","USMisPa","USMisPa",38.66,-90.06,"St. Louis"
"Cahokia","USMisPa","Cahokia",700,88.2,1.56840247443161,0.350700393058611,1.57196371501869,1.25,0,0.0916666666666667,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,0.0501458966215429,0.0227701106389023,0.0775216826041836,"USMisPa",600,749,"NorthAmerica","Medium","n","USMisPa","USMisPa","USMisPa",38.66,-90.06,"St. Louis"
"Cahokia","USMisSp","Cahokia",800,90.2,2.66648922998353,2.11030102133934,2.60850636543881,1.75,0,0.1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,1,0,0.141522838767993,0.135272762336062,0.147772915199925,"USMisSp",750,899,"NorthAmerica","Medium","n","USMisSp","USMisSp","USMisSp",38.66,-90.06,"St. Louis"
"Cahokia","USMisME","Cahokia",900,82.4,2.66975353960208,2.07513014634185,2.65276821496742,1.75,0.2,0.316666666666667,0,0,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,1,0,0.19773868470587,0.195619742198999,0.199857627212741,"USMisME",900,1049,"NorthAmerica","Medium","n","USMisME","USMisME","USMisME",38.66,-90.06,"St. Louis"
"Cahokia","USMisME","Cahokia",1000,82.4,2.66975353960208,2.07513014634185,2.65276821496742,2.5,0.2,0.316666666666667,0,0,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,1,0,0.214549438425749,0.212713443941503,0.216385432909995,"USMisME",900,1049,"NorthAmerica","Medium","n","USMisME","USMisME","USMisME",38.66,-90.06,"St. Louis"
"Cahokia","USCahoE","Cahokia",1100,78.4,4.62485085971008,3.45255993327967,4.07104257266834,2.85687294604787,0.333333333333333,0.325,0,0,1.8,1,2,NA,NA,NA,6,NA,2,NA,NA,NA,NA,NA,0,3,NA,NA,NA,1,0,0.350291174312257,0.349307849955234,0.35127449866928,"USCahoE",1050,1199,"NorthAmerica","Medium","n","USCahoE","USCahoE","USCahoE",38.66,-90.06,"St. Louis"
