NGA,Latitude,Longitude,City
Latium,41.89,12.49,Rome
Paris Basin,48.87,2.31,Paris
Iceland,64.13,-21.89,Reykjavik
Upper Egypt,25.73,32.71,Luxor
Niger Inland Delta,16.72,-3.04,Timbuctu
Ghanaian Coast,5.57,-0.22,Accra
Crete,35.34,25.14,Heraklion
Galilee,32.70,35.30,Nazareth
Susiana,32.38,48.24,Susa
Konya Plain,37.88,32.52,Konya
Yemeni Coastal Plain,14.85,43.32,Sanaa
Kachi Plain,29.38,67.63,Mehrgarh
Deccan,15.39,76.63,Kampli
Garo Hills,25.44,90.52,Tura
Cambodian Basin,13.41,103.87,Angkor Wat
Central Java,-6.99,110.40,Semarang
Kapuasi Basin,0.77,112.41,Borneo
Middle Yellow River Valley,34.70,112.52,Luoyang
Kansai,35.03,135.76,Kyoto
Southern China Hills,27.54,103.99,Guizhou
Sogdiana,39.63,66.94,Samarkand
Orkhon Valley,47.20,102.85,Karakorum
Lena River Valley,63.46,129.38,Yakutsk
Valley of Oaxaca,17.04,-96.76,Monte Alban
Cahokia,38.66,-90.06,St. Louis
Finger Lakes,42.70,-77.02,Seneca Falls
Cuzco,-13.48,-72.07,Cuzco
North Colombia,10.78,-73.64,Santa Marta
Lowland Andes,-2.90,-77.67,Logrono
Big Island Hawaii,19.53,-155.92,Kona
Chuuk Islands,7.35,151.60,Chuuk
Oro PNG,-8.59,148.19,Oro
,,,
,,,
,,,
,,,
,,,
,,,
,,,
