"Latium","Paris Basin","Iceland","Upper Egypt","Niger Inland Delta","Ghanaian Coast","Crete","Galilee","Susiana","Konya Plain","Yemeni Coastal Plain","Kachi Plain","Deccan","Garo Hills","Cambodian Basin","Central Java","Kapuasi Basin","Middle Yellow River Valley","Kansai","Southern China Hills","Sogdiana","Orkhon Valley","Lena River Valley","Valley of Oaxaca","Cahokia","Finger Lakes","Cuzco","North Colombia","Lowland Andes","Big Island Hawaii","Chuuk Islands","Oro PNG"
0,1109.29339236094,3299.4917151164,2579.32872419358,3166.34338333733,4230.0037440101,1316.3055898563,2252.02746356245,3313.20446439251,1761.70750999747,4215.06702197794,5082.23585041783,6743.14168112454,7202.14868679958,9129.30875323023,11179.6657399137,10769.1631337631,8242.47682277968,9696.12959362629,8123.39986137656,4514.93526525063,6768.85409693515,7055.86680429001,10256.0344431154,8127.69180557911,6980.24888137114,10562.6205716306,8891.74595045443,10236.0386652288,13082.1606065363,13144.4651806341,14321.3456414558
1109.29339236094,0,2227.12253477733,3676.33969458242,3607.63926449626,4820.66545482612,2394.24255049995,3269.39929931019,4207.46951451131,2705.96245871579,5305.7094553122,5836.97102599947,7584.0120381442,7783.02812858873,9711.40475813877,11911.3088616415,11393.9999223939,8450.48041458991,9612.70813273058,8527.72874670699,5089.9027276603,6883.71171542764,6696.07069602262,9231.01508894909,7038.81503778328,5905.35916925979,10028.8893617868,8081.37673583724,9521.65014535292,12109.0878140626,13085.3251023759,14523.4377275405
3299.4917151164,2227.12253477733,0,5760.59631465064,5463.08715741805,6738.33923778825,4477.21570820556,5199.46006031694,5850.9952591835,4576.44962630652,7333.91838267829,7072.10485853061,8877.36031693541,8487.67813768963,10258.3667516876,12635.6999271384,11899.5155806787,8323.92793719457,8815.38683121918,8794.31865402086,6059.59735216474,6735.80148073244,5632.41963202084,7575.31277124323,5166.72919586551,4167.97398635676,9612.45742608092,7149.84680884405,8727.66274982605,9912.09133838506,12048.1346952696,13789.6123260142
2579.32872419358,3676.33969458242,5760.59631465064,0,3825.32680015249,4155.87940234047,1290.26790086401,814.676429144256,1678.46521771947,1351.13669564619,1637.833721163,3453.60586636122,4692.13530762969,5748.10307437536,7498.92582442982,9126.8013491435,8939.26584435874,7536.76054985181,9480.51768680683,6983.10408910411,3528.18966619345,6475.18136447795,7786.28780877906,12771.0635842888,10706.896725609,9555.3927939875,12114.2744694696,11082.4451990874,12185.7936509048,14896.7531243126,12464.1834413631,12967.3139072633
3166.34338333733,3607.63926449626,5463.08715741805,3825.32680015249,0,1277.29398126251,3473.08845536636,4230.14138753432,5415.26631857115,4188.11867512554,4954.03413184467,7264.4129390714,8450.76942001328,9561.96453602884,11318.0758962245,12721.0225979569,12682.6074218451,11134.3446095839,12803.6749483538,10746.2373153655,7133.11828759129,9797.70913640536,10206.9079032989,9848.91412129197,8603.49736830086,7459.6514545376,8290.60148637715,7618.13377640889,8470.22175465807,15012.1981750976,16149.5869364393,16769.912217023
4230.0037440101,4820.66545482612,6738.33923778825,4155.87940234047,1277.29398126251,0,4206.98049999784,4755.49167449783,5832.85021277665,4883.1443454184,4865.82981081458,7561.24617803127,8436.72742231156,9815.83207326079,11376.2154100881,12351.814535799,12502.1177375528,11690.1467840878,13568.9402354185,11107.2488097581,7665.0693356952,10528.6804918591,11268.534214488,10517.3833506367,9607.15201122184,8510.31638927528,8207.00064674777,8085.37967251877,8652.5743264284,16160.2006140032,16574.3985163726,16514.196249443
1316.3055898563,2394.24255049995,4477.21570820556,1290.26790086401,3473.08845536636,4206.98049999784,0,980.758787262153,2153.18387455376,716.436529440993,2911.65606819994,4014.78086809815,5556.21374680872,6256.37105386328,8138.20261304722,10029.7513240377,9710.40225975556,7661.69532269396,9389.96506249118,7334.81778042218,3685.54387501319,6355.21492190177,7191.08442363967,11568.9854422563,9432.54827280673,8292.29380220903,11514.8925791822,10097.5614149232,11354.8109594881,13912.7963483184,12676.5085365172,13538.4959730291
2252.02746356245,3269.39929931019,5199.46006031694,814.676429144256,4230.14138753432,4755.49167449783,980.758787262153,0,1212.75435547911,628.741089897695,2144.02273951043,3090.27569070224,4579.24556904463,5368.03640594207,7215.37515736084,9054.54491210982,8757.39926320497,6958.00878401411,8822.07732457576,6516.43984788187,2926.25561084022,5789.6522754632,6986.90352963813,12495.5911456704,10280.237030998,9167.32876304432,12423.8411253018,11078.2531101411,12321.785821039,14086.0922905812,11953.2323273432,12659.4950851995
3313.20446439251,4207.46951451131,5850.9952591835,1678.46521771947,5415.26631857115,5832.85021277665,2153.18387455376,1212.75435547911,0,1552.27881469595,2011.89213663583,1877.52167214745,3431.39915212047,4160.01839752212,6003.15865090247,7889.98613140508,7557.72130687516,5858.43084550451,7815.47387283912,5338.02049958242,1860.35451636184,4838.17869094006,6394.32098580318,13376.4357343575,11017.2851642852,9976.42268481821,13636.5205183719,12204.1225559523,13504.8113265738,13696.2986718614,10806.1794140403,11448.6527469196
1761.70750999747,2705.96245871579,4576.44962630652,1351.13669564619,4188.11867512554,4883.1443454184,716.436529440993,628.741089897695,1552.27881469595,0,2772.6485427039,3363.16839863302,4983.53520079307,5570.73647741324,7469.47103034135,9434.86910875361,9068.94478278245,6946.25056035149,8695.94993101524,6625.13901619055,2972.7513624005,5656.90529741551,6618.73264837418,11934.3672984451,9678.09625048091,8578.78517397615,12193.8974311711,10651.843785959,11969.6534810425,13570.6522634896,11961.5705829053,12837.9163693346
4215.06702197794,5305.7094553122,7333.91838267829,1637.833721163,4954.03413184467,4865.82981081458,2911.65606819994,2144.02273951043,2011.89213663583,2772.6485427039,0,2969.45489785783,3572.63186452029,5039.23363864806,6510.69612314993,7780.72542599223,7740.37974245264,7189.0929713317,9283.42023716729,6385.93902367875,3588.09280677514,6515.52990135033,8338.69766025079,14379.9564643884,12342.2352360185,11193.159731581,13072.8227424699,12508.5531655698,13417.3561207401,15651.0501864372,11735.4819658477,11839.187644965
