"NGA","PreRate","PostRate","MGUncertainty","TimeWindow","Region","Lang","Difference","V9"
"Big Island Hawaii",0.00064096947444738,NA,41,200,6,5,NA,100
"Big Island Hawaii",0.00021436542913102,NA,41,300,6,5,NA,100
"Big Island Hawaii",0.000227637760269613,NA,41,400,6,5,NA,100
"Big Island Hawaii",0.00023282989924918,NA,41,500,6,5,NA,100
"Big Island Hawaii",0.000226124735338645,NA,41,600,6,5,NA,100
"Big Island Hawaii",0.000200398892406263,NA,41,700,6,5,NA,100
"Big Island Hawaii",0.00017534903085548,NA,41,800,6,5,NA,100
"Big Island Hawaii",NA,NA,41,900,6,5,NA,100
"Big Island Hawaii",NA,NA,41,1000,6,5,NA,100
"Big Island Hawaii",NA,NA,41,1100,6,5,NA,100
"Big Island Hawaii",NA,NA,41,1200,6,5,NA,100
"Big Island Hawaii",NA,NA,41,1300,6,5,NA,100
"Big Island Hawaii",NA,NA,41,1400,6,5,NA,100
"Big Island Hawaii",NA,NA,41,1500,6,5,NA,100
"Big Island Hawaii",NA,NA,41,1600,6,5,NA,100
"Big Island Hawaii",NA,NA,41,1700,6,5,NA,100
"Big Island Hawaii",NA,NA,41,1800,6,5,NA,100
"Big Island Hawaii",NA,NA,41,1900,6,5,NA,100
"Big Island Hawaii",NA,NA,41,2000,6,5,NA,100
"Cambodian Basin",NA,0,314,100,9,4,NA,-9900
"Cambodian Basin",NA,0,314,200,9,4,NA,100
"Cambodian Basin",NA,-1.55817269512633e-05,314,300,9,4,NA,100
"Cambodian Basin",NA,0.00026914335618873,314,400,9,4,NA,100
"Cambodian Basin",NA,0.00027284521835872,314,500,9,4,NA,100
"Cambodian Basin",NA,0.000303247046487662,314,600,9,4,NA,100
"Cambodian Basin",NA,0.000257633361142214,314,700,9,4,NA,100
"Cambodian Basin",NA,0.000219690246727384,314,800,9,4,NA,100
"Cambodian Basin",NA,0.00019528021931323,314,900,9,4,NA,100
"Cambodian Basin",NA,0.000141097255953614,314,1000,9,4,NA,100
"Cambodian Basin",NA,0.000128270232685104,314,1100,9,4,NA,100
"Cambodian Basin",NA,0.000137791160170456,314,1200,9,4,NA,100
"Cambodian Basin",NA,0.000114859059866289,314,1300,9,4,NA,100
"Cambodian Basin",NA,0.000105160660227244,314,1400,9,4,NA,100
"Cambodian Basin",NA,8.58962436221413e-05,314,1500,9,4,NA,100
"Cambodian Basin",NA,NA,314,1600,9,4,NA,100
"Cambodian Basin",NA,NA,314,1700,9,4,NA,100
"Cambodian Basin",NA,NA,314,1800,9,4,NA,100
"Cambodian Basin",NA,NA,314,1900,9,4,NA,100
"Cambodian Basin",NA,NA,314,2000,9,4,NA,100
"Central Java",NA,5.60358457329302e-05,287,100,9,18,NA,-9900
"Central Java",NA,2.80179228664651e-05,287,200,9,18,NA,100
"Central Java",NA,0.00021876422244459,287,300,9,18,NA,100
"Central Java",NA,0.000155651114383347,287,400,9,18,NA,100
"Central Java",NA,0.000253800658070502,287,500,9,18,NA,100
"Central Java",NA,0.000211500548392085,287,600,9,18,NA,100
"Central Java",NA,0.000181286184336073,287,700,9,18,NA,100
"Central Java",NA,0.000140702981717873,287,800,9,18,NA,100
"Central Java",NA,0.000125069317082553,287,900,9,18,NA,100
"Central Java",NA,NA,287,1000,9,18,NA,100
"Central Java",NA,NA,287,1100,9,18,NA,100
"Central Java",NA,NA,287,1200,9,18,NA,100
"Central Java",NA,NA,287,1300,9,18,NA,100
"Central Java",NA,NA,287,1400,9,18,NA,100
