"NGA","PreRate","PostRate","MGUncertainty","TimeWindow","Region","Lang","Difference","V9"
"Deccan",0,6.9432158846735e-05,899,200,5,11,6.9432158846735e-05,100
"Deccan",0.00032128068001712,4.62881058978234e-05,899,300,5,11,-0.000274992574119297,100
"Deccan",0.00024096051001284,0.00146007029456386,899,400,5,11,0.00121910978455102,100
"Deccan",0.000192768408010272,2.7772863538694e-05,899,500,5,11,-0.000164995544471578,100
"Deccan",0.000174811702032577,0.000789290657277808,899,600,5,11,0.000614478955245231,100
"Deccan",0.000149838601742209,0.000676704628830686,899,700,5,11,0.000526866027088477,100
"Deccan",0.000131108776524432,0.000594093478091276,899,800,5,11,0.000462984701566844,100
"Deccan",0.000116541134688384,0.000529892919515559,899,900,5,11,0.000413351784827175,100
"Deccan",0.000104887021219546,0.000490667130474815,899,1000,5,11,0.000385780109255269,100
"Deccan",9.53518374723145e-05,NA,899,1100,5,11,NA,100
"Deccan",8.74058510162883e-05,0.000349890483451293,899,1200,5,11,0.000262484632435005,100
"Deccan",8.06823240150354e-05,0.000405293011338343,899,1300,5,11,0.000324610687323308,100
"Deccan",7.49193008711043e-05,0.000381910772561044,899,1400,5,11,0.00030699147168994,100
"Deccan",6.99246808130307e-05,0.000346812238293446,899,1500,5,11,0.000276887557480415,100
"Deccan",6.55543882622162e-05,0.000325831487160257,899,1600,5,11,0.000260277098898041,100
"Deccan",6.16982477762035e-05,0.000328553391540063,899,1700,5,11,0.00026685514376386,100
"Deccan",5.82705673441922e-05,NA,899,1800,5,11,NA,100
"Deccan",5.52036953787084e-05,0.00026073452514423,899,1900,5,11,0.000205530829765522,100
"Deccan",5.2443510609773e-05,0.000205297211419365,899,2000,5,11,0.000152853700809592,100
"Kachi Plain",0,0,749,100,5,37,0,-9900
"Kachi Plain",0,0,749,200,5,37,0,100
"Kachi Plain",0,0,749,300,5,37,0,100
"Kachi Plain",0,0.00140931359410701,749,400,5,37,0.00140931359410701,100
"Kachi Plain",0.000131314074276498,0.00112365198777702,749,500,5,37,0.000992337913500522,100
"Kachi Plain",0.000109428395230415,0.00091454120662786,749,600,5,37,0.000805112811397445,100
"Kachi Plain",9.37957673403557e-05,0.00078389246282388,749,700,5,37,0.000690096695483524,100
"Kachi Plain",8.20712964228112e-05,0.000579665698778639,749,800,5,37,0.000497594402355828,100
"Kachi Plain",7.29522634869433e-05,0.000571664301749284,749,900,5,37,0.000498712038262341,100
"Kachi Plain",-0.000339886618744577,0.000492193042984929,749,1000,5,37,0.000832079661729506,100
"Kachi Plain",-0.000308987835222343,0.000444428154354668,749,1100,5,37,0.000753415989577011,100
"Kachi Plain",-0.000283238848953814,0.00040080555157999,749,1200,5,37,0.000684044400533804,100
"Kachi Plain",-0.000261451245188136,0.000380242511503565,749,1300,5,37,0.000641693756691701,100
