NGA,PolName,PolID,Start,End,World Region,Complexity,Dupl,Language,Genus,Family
Latium,ItLatCA,ItLatCA,-3600,-1801,Europe,Early,n,Latin,Romance,Indo-European
Latium,ItLatBA,ItLatBA,-1800,-1001,Europe,Early,n,Latin,Romance,Indo-European
Latium,ItLatIA,ItLatIA,-1000,-717,Europe,Early,n,Latin,Romance,Indo-European
Latium,ItRomRg,ItRomRg,-716,-510,Europe,Early,n,Latin,Romance,Indo-European
Latium,ItRomER,ItRomER,-509,-265,Europe,Early,n,Latin,Romance,Indo-European
Latium,ItRomMR,ItRomMR,-264,-134,Europe,Early,n,Latin,Romance,Indo-European
Latium,ItRomLR,ItRomLR,-133,-29,Europe,Early,n,Latin,Romance,Indo-European
Latium,ItRomPr,ItRomPr,-31,283,Europe,Early,n,Latin,Romance,Indo-European
Latium,TrRomDm,TrRomDm,284,394,Europe,Early,y,Latin,Romance,Indo-European
Latium,ItRomWe,ItRomWe,395,457,Europe,Early,n,Latin,Romance,Indo-European
Latium,ItOstrg,ItOstrg,493,554,Europe,Early,n,Latin,Romance,Indo-European
Latium,ItRav**,ItRav**,568,710,Europe,Early,n,Latin,Romance,Indo-European
Latium,ItStPet,ItStPet,711,903,Europe,Early,n,Latin,Romance,Indo-European
Latium,ItPapEM,ItPapEM,904,1197,Europe,Early,n,Latin,Romance,Indo-European
Latium,ItPapHM,ItPapHM,1198,1308,Europe,Early,n,Latin,Romance,Indo-European
Latium,ItPapRn,ItPapRn,1378,1526,Europe,Early,n,Latin,Romance,Indo-European
Latium,ItPapM1,ItPapM1,1527,1647,Europe,Early,n,Latin,Romance,Indo-European
Latium,ItPapM2,ItPapM2,1648,1800,Europe,Early,n,Latin,Romance,Indo-European
Paris Basin,FrBeakr,FrBeakr,-3200,-2201,Europe,Medium,n,FrBeakr,FrBeakr,FrBeakr
Paris Basin,FrAtlBA,FrAtlBA,-2200,-1001,Europe,Medium,n,FrAtlBA,FrAtlBA,FrAtlBA
Paris Basin,FrHallA,FrHallA,-1000,-901,Europe,Medium,n,FrHallA,FrHallA,FrHallA
Paris Basin,FrHallB,FrHallB,-900,-701,Europe,Medium,n,FrHallB,FrHallB,FrHallB
Paris Basin,FrHallC,FrHallC,-700,-601,Europe,Medium,n,FrHallC,FrHallC,FrHallC
Paris Basin,FrHallD,FrHallD,-600,-475,Europe,Medium,n,FrHallD,FrHallD,FrHallD
Paris Basin,FrTeneA,FrTeneA,-474,-325,Europe,Medium,n,Gallic,Celtic,Indo-European
Paris Basin,FrTeneB,FrTeneB,-324,-175,Europe,Medium,n,Gallic,Celtic,Indo-European
Paris Basin,FrTeneC,FrTeneC,-174,-27,Europe,Medium,n,Gallic,Celtic,Indo-European
Paris Basin,ItRomPr,ItRomPr,-31,283,Europe,Medium,y,Latin,Romance,Indo-European
Paris Basin,TrRomDm,TrRomDm,284,473,Europe,Medium,y,Latin,Romance,Indo-European
Paris Basin,FrMervE,FrMervE,481,542,Europe,Medium,n,Latin,Romance,Indo-European
Paris Basin,FrMervM,FrMervM,543,686,Europe,Medium,n,Latin,Romance,Indo-European
Paris Basin,FrMervL,FrMervL,687,750,Europe,Medium,n,Latin,Romance,Indo-European
Paris Basin,FrCarlE,FrCarlE,752,839,Europe,Medium,n,Latin,Romance,Indo-European
Paris Basin,FrCarlL,FrCarlL,840,986,Europe,Medium,n,French,Romance,Indo-European
Paris Basin,FrCaptE,FrCaptE,987,1149,Europe,Medium,n,French,Romance,Indo-European
Paris Basin,FrCaptL,FrCaptL,1150,1327,Europe,Medium,n,French,Romance,Indo-European
Paris Basin,FrValoE,FrValoE,1328,1449,Europe,Medium,n,French,Romance,Indo-European
Paris Basin,FrValoL,FrValoL,1450,1588,Europe,Medium,n,French,Romance,Indo-European
Paris Basin,FrBurbE,FrBurbE,1589,1659,Europe,Medium,n,French,Romance,Indo-European
Paris Basin,FrBurbL,FrBurbL,1660,1788,Europe,Medium,n,French,Romance,Indo-European
Iceland,IsCommw,IsCommw,930,1261,Europe,Late,n,Old Norse,Germanic,Indo-European
Iceland,NorKing,NorKing,1262,1380,Europe,Late,n,Old Norse,Germanic,Indo-European
Upper Egypt,EgBadar,EgBadar,-4400,-3801,Africa,Early,n,Ancient Egyptian,Egyptian-Coptic,Afro-Asiatic
Upper Egypt,EgNaqa1,EgNaqa1,-3800,-3551,Africa,Early,n,Ancient Egyptian,Egyptian-Coptic,Afro-Asiatic
Upper Egypt,EgNaqa2,EgNaqa2,-3550,-3301,Africa,Early,n,Ancient Egyptian,Egyptian-Coptic,Afro-Asiatic
Upper Egypt,EgNaqa3,EgNaqa3,-3300,-3101,Africa,Early,n,Ancient Egyptian,Egyptian-Coptic,Afro-Asiatic
Upper Egypt,EgDyn1*,EgDyn1*,-3100,-2901,Africa,Early,n,Ancient Egyptian,Egyptian-Coptic,Afro-Asiatic
Upper Egypt,EgDyn2*,EgDyn2*,-2900,-2651,Africa,Early,n,Ancient Egyptian,Egyptian-Coptic,Afro-Asiatic
