Variable,Subsection,ShortName,Category,VarNumber,Section
Polity Population,Social Scale,PolPop,scale,1,Social Complexity variables
Polity territory,Social Scale,PolTerr,scale,2,Social Complexity variables
Population of the largest settlement,Social Scale,CapPop,scale,3,Social Complexity variables
Administrative levels,Hierarchical Complexity,AdmLev,levels,4,Social Complexity variables
Military levels,Hierarchical Complexity,MilLev,levels,5,Social Complexity variables
Religious levels,Hierarchical Complexity,ReligLev,levels,6,Social Complexity variables
Settlement hierarchy,Hierarchical Complexity,SettlHier,levels,7,Social Complexity variables
Professional military officers,Professions,ProfOfficer,government,8,Social Complexity variables
Professional soldiers,Professions,ProfSoldier,government,9,Social Complexity variables
Professional priesthood,Professions,ProfPriest,government,10,Social Complexity variables
Full-time bureaucrats,Bureaucracy characteristics,FullTBur,government,11,Social Complexity variables
Examination system,Bureaucracy characteristics,ExamSyst,government,12,Social Complexity variables
Merit promotion,Bureaucracy characteristics,MeritProm,government,13,Social Complexity variables
Specialized government buildings,Bureaucracy characteristics,GovtBldg,government,14,Social Complexity variables
Courts,Law,Court,government,15,Social Complexity variables
Formal legal code,Law,LegCode,government,16,Social Complexity variables
Judges,Law,Judge,government,17,Social Complexity variables
Professional Lawyers,Law,Lawyer,government,18,Social Complexity variables
irrigation systems,Specialized Buildings: polity owned,Irrigation,infrastruct,19,Social Complexity variables
drinking water supply systems,Specialized Buildings: polity owned,WaterSuppl,infrastruct,20,Social Complexity variables
markets,Specialized Buildings: polity owned,Market,infrastruct,21,Social Complexity variables
food storage sites,Specialized Buildings: polity owned,FoodStor,infrastruct,22,Social Complexity variables
Roads,Specialized Buildings: polity owned,Road,infrastruct,23,Social Complexity variables
Bridges,Specialized Buildings: polity owned,Bridge,infrastruct,24,Social Complexity variables
Canals,Specialized Buildings: polity owned,Canal,infrastruct,25,Social Complexity variables
Ports,Specialized Buildings: polity owned,Port,infrastruct,26,Social Complexity variables
Mines or quarries,Specialized Buildings: polity owned,Mine,infrastruct,27,Social Complexity variables
Couriers,Other,Courier,infrastruct,28,Social Complexity variables
Postal stations,Other,PostStation,infrastruct,29,Social Complexity variables
General postal service,Other,PostService,infrastruct,30,Social Complexity variables
Mnemonic devices,Information,Mnemonic,writing,31,Social Complexity variables
Nonwritten records,Information,NonWRecord,writing,32,Social Complexity variables
Written records,Information,WRecord,writing,33,Social Complexity variables
Script,Information,Script,writing,34,Social Complexity variables
Non-phonetic writing,Information,NonPhWrit,writing,35,Social Complexity variables
Phonetic alphabetic writing,Information,PhAlph,writing,36,Social Complexity variables
Lists tables and classifications,Information,Lists,writing,37,Social Complexity variables
Calendar,Information,Calendar,texts,38,Social Complexity variables
Sacred Texts,Information,SacrTxt,texts,39,Social Complexity variables
Religious literature,Information,ReligLit,texts,40,Social Complexity variables
Practical literature,Information,PractLit,texts,41,Social Complexity variables
History,Information,History,texts,42,Social Complexity variables
Philosophy,Information,Philosophy,texts,43,Social Complexity variables
Scientific literature,Information,SciLit,texts,44,Social Complexity variables
Fiction,Information,Fiction,texts,45,Social Complexity variables
Articles,Other,Article,money,46,Social Complexity variables
Tokens,Other,Token,money,47,Social Complexity variables
Precious metals,Other,PrecMetal,money,48,Social Complexity variables
Foreign coins,Other,ForCoin,money,49,Social Complexity variables
Indigenous coins,Other,IndigCoin,money,50,Social Complexity variables
Paper currency,Other,PaperCurr,money,51,Social Complexity variables
Copper,MilTech Metals,Copper,MilMetal,52,Warfare variables
Bronze,MilTech Metals,Bronze,MilMetal,53,Warfare variables
Iron,MilTech Metals,Iron,MilMetal,54,Warfare variables
Steel,MilTech Metals,Steel,MilMetal,55,Warfare variables
Javelins,MilTech Projectiles,Javelin,MilProj,56,Warfare variables
Atlatl,MilTech Projectiles,Atlatl,MilProj,57,Warfare variables
Slings,MilTech Projectiles,Sling,MilProj,58,Warfare variables
Self bow,MilTech Projectiles,SelfBow,MilProj,59,Warfare variables
Composite bow,MilTech Projectiles,CompBow,MilProj,60,Warfare variables
Crossbow,MilTech Projectiles,Crossbow,MilProj,61,Warfare variables
Tension siege engines,MilTech Projectiles,TensSiege,MilProj,62,Warfare variables
Sling siege engines,MilTech Projectiles,SlingSiege,MilProj,63,Warfare variables
Gunpowder siege artillery,MilTech Projectiles,Afrtillery,MilProj,64,Warfare variables
Handheld firearms,MilTech Projectiles,HandGun,MilProj,65,Warfare variables
War clubs,MilTech Handheld,WarClub,Weapon,66,Warfare variables
Battle Axes,MilTech Handheld,BattleAxe,Weapon,67,Warfare variables
Daggers,MilTech Handheld,Dagger,Weapon,68,Warfare variables
Swords,MilTech Handheld,Sword,Weapon,69,Warfare variables
Spears,MilTech Handheld,Spear,Weapon,70,Warfare variables
Polearms,MilTech Handheld,Polearm,Weapon,71,Warfare variables
Dogs,MilTech Animals,Dog,MilAnimal,72,Warfare variables
